generated_status,decision,reviewer,review_notes,hr_rank,hr_frequency,ekavian_lemma,ijekavian_lemma,ikavian_suggestion,rule,family_anchor,upos,compatible_msd_slots,changed_surface_pairs,ambiguous_msd_slots,reasons
known,,,,14,7808048,hteti,htjeti,htiti,je→e,dospeti↔dospjeti,ADV|AUX|VERB,22,15,7,ambiguous-surface-variants
known,,,,59,1496203,čovek,čovjek,čovik,je→e,čovekov↔čovjekov,NOUN,14,7,0,
known,,,,64,1407547,vreme,vrijeme,vrime,ije→e,nevreme↔nevrijeme,NOUN,13,3,1,ambiguous-surface-variants
known,,,,68,1355233,videti,vidjeti,viditi,je→e,predvideti↔predvidjeti,ADJ|ADV|VERB,66,19,16,ambiguous-surface-variants
known,,,,78,1174344,želeti,željeti,želiti,je→e,voleti↔voljeti,ADJ|ADV|VERB,54,6,16,ambiguous-surface-variants
known,,,,84,1055563,dete,dijete,dite,ije→e,,NOUN,14,14,0,no-higher-trust-family-anchor
known,,,,88,1042458,deo,dio,,i→e,,NOUN,14,12,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources
known,,,,93,961518,pre,prije,pri,ije→e,najpre↔najprije,ADP,1,1,0,fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
known,,,,100,850126,uvek,uvijek,uvik,ije→e,,ADV,1,1,0,no-higher-trust-family-anchor|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
known,,,,103,825989,mesto,mjesto,misto,je→e,umesto↔umjesto,ADP|NOUN,14,14,1,ambiguous-surface-variants
known,,,,106,812596,gde,gdje,gdi,je→e,negde↔negdje,ADV|SCONJ,2,2,0,fewer-than-three-compatible-msd-slots
review,,,,113,754410,svet,svijet,svit,ije→e,svest↔svijest,NOUN,13,13,1,ambiguous-surface-variants
review,,,,139,640374,cel,cijel,cil,ije→e,celost↔cijelost,ADJ,88,88,48,ambiguous-surface-variants
known,,,,141,625110,mesec,mjesec,misec,je→e,mesečni↔mjesečni,NOUN,12,12,2,ambiguous-surface-variants
known,,,,150,578767,predsednik,predsjednik,predsidnik,je→e,predsednica↔predsjednica,NOUN,13,13,1,ambiguous-surface-variants
known,,,,154,559893,voleti,voljeti,voliti,je→e,želeti↔željeti,ADJ|ADV|VERB,54,6,16,ambiguous-surface-variants
known,,,,158,549325,živeti,živjeti,živiti,je→e,hteti↔htjeti,ADJ|ADV|VERB,60,43,16,ambiguous-surface-variants
review,,,,176,487177,netko,nitko,,i→e,,PRON,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
known,,,,178,483728,reč,riječ,rič,ije→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
known,,,,184,479208,verovati,vjerovati,virovati,je→e,poverovati↔povjerovati,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
